eventID;lnr;;period;dam;prove;N_daph;N_cop;N_naup;N_bos;l_daph_mm;l_cop_mm;l_naup_mm;l_bos_mm;m_daph_ug;m_cop_ug;m_naup_ug;m_bos_ug;B_daph_ugL;B_cop_ugL;B_naup_ugL;B_bos_ugL;period;dam;prove;N_daph_1;N_cop_1;N_naup_1;N_bos_1;B_daph_ugL_1;B_cop_ugL_1;B_naup_ugL_1;B_bos_ugL_1;comments;
a5bafe92-df03-49aa-9d0d-1b3d2598c1fc;55;10.08.2013;4;19;1;0;68;0;0;NA;0.756;NA;NA;NA;5.27;NA;NA;0;17.91888037;0;0;4;19;1;2;40;73;0;0.596446675;9.794587653;5.544000258;0;NA;
855f703d-9c7c-49bd-b854-a4bfb8bf53cb;56;10.08.2013;4;19;2;0;197;0;0;NA;0.756;NA;NA;NA;5.27;NA;NA;0;51.91205047;0;0;4;19;2;0;366;73;0;0;89.62047703;5.544000258;0;NA;
3273b0a8-e259-4a4e-80ee-982677a37163;57;10.08.2013;4;19;3;0;42;0;0;NA;0.756;NA;NA;NA;5.27;NA;NA;0;11.06754376;0;0;4;19;3;0;55;30;0;0;13.46755802;2.27835627;0;NA;
60c95da7-37e2-437b-9c4d-5cf7e57bbe26;58;10.08.2013;4;20;1;55;13;0;0;1.24;0.908;NA;NA;5.656;6.375;NA;NA;15.55482886;4.143715194;0;0;4;20;1;31;28;12;0;11.15364991;11.59115268;0.96794532;0;NA;
9414ec9b-05d9-44f5-8636-d872d10df378;59;10.08.2013;4;20;2;50;11;0;0;1.24;0.908;NA;NA;5.656;6.375;NA;NA;14.14075351;3.506220549;0;0;4;20;2;41;17;24;0;14.75160149;7.037485556;1.935890639;0;NA;
fb9f62c1-f72a-4eda-9061-748c91ba47ee;60;10.08.2013;4;20;3;11;11;0;0;1.24;0.908;NA;NA;5.656;6.375;NA;NA;3.110965772;3.506220549;0;0;4;20;3;51;38;22;0;18.34955307;15.73085007;1.774566419;0;NA;
f1970454-2c73-4e52-ac5d-f12674c6f32f;61;11.08.2013;4;21;1;20;138;195;0;2.079;1.237;0.391;NA;10.665;8.798;1.659;NA;10.66481448;60.70776075;16.17494064;0;4;21;1;66;133;1042;0;34.62489755;52.13927402;78.74923874;0;NA;
a8265075-b1ec-4fc5-9f1f-6cad23f8f33c;62;11.08.2013;4;21;2;321;100;24;0;2.079;1.237;0.391;NA;10.665;8.798;1.659;NA;171.1702724;43.99113098;1.990761925;0;4;21;2;5;40;915;0;2.623098299;15.68098467;69.15120292;0;NA;
64152b94-22c3-4fca-acec-43ce2f2f6130;63;11.08.2013;4;21;3;206;406;9;0;2.079;1.237;0.391;NA;10.665;8.798;1.659;NA;109.8475891;178.6039918;0.746535722;0;4;21;3;9;109;976;0;4.721576939;42.73068322;73.76128312;0;NA;
4c2a1d71-4a8c-4b71-bbfa-62581c7aca41;64;01.08.2013;3;1;1;11;102;43;0;1.062;0.822;0.222;NA;4.672;5.75;1.479;NA;2.56965285;29.32534301;3.180135685;0;3;1;1;0;191;46;0;0;53.50598402;3.583002279;0;NA;
239ffdbc-72f9-47dc-91e8-90f3bc6d77ab;65;01.08.2013;3;1;2;11;100;55;0;1.062;0.822;0.222;NA;4.672;5.75;1.479;NA;2.56965285;28.75033629;4.067615411;0;3;1;2;3;123;46;0;1.258525403;34.45673317;3.583002279;0;NA;
d0945734-186f-4026-b952-0db141369cde;66;01.08.2013;3;1;3;7;125;40;0;1.062;0.822;0.222;NA;4.672;5.75;1.479;NA;1.635233632;35.93792036;2.958265754;0;3;1;3;210;25;0;0;88.09677824;7.00340105;0;0;NA;
8c3f836a-f3ed-4b01-885d-3ea1b1146791;67;01.08.2013;3;2;1;0;0;0;2;NA;0.58;NA;0.759;NA;NA;NA;15.275;0;0;0;1.527461874;3;2;1;0;0;0;31;0;0;0;17.99842658;NA;
40b3d8ef-a278-453a-9df1-88fd567504cf;68;01.08.2013;3;2;2;0;0;0;5;NA;0.58;NA;0.759;NA;NA;NA;15.275;0;0;0;3.818654684;3;2;2;0;0;0;41;0;0;0;23.80437063;NA;
94561b86-8cf5-4fb6-968a-0d881b11bbe3;69;01.08.2013;3;2;3;0;5;0;3;NA;0.58;NA;0.759;NA;4;NA;15.275;0;0.999893368;0;2.29119281;3;2;3;0;0;0;117;0;0;0;67.92954547;NA;
1117402c-eef9-4392-99b9-295789b6de8a;70;31.07.2013;3;3;1;0;105;47;0;NA;0.714;0.313;NA;NA;4.962;1.585;NA;0;26.05147227;3.725836731;0;3;3;1;0;9;5;0;0;2.041437736;0.386948005;0;NA;
7e0056b3-ccce-4358-92ff-08f30e2a746d;71;31.07.2013;3;3;2;0;105;46;0;NA;0.714;0.313;NA;NA;4.962;1.585;NA;0;26.05147227;3.646563609;0;3;3;2;0;44;54;0;0;9.980362263;4.179038449;0;NA;
ae806dc9-3232-46dc-b5ef-a565359cac54;72;31.07.2013;3;3;3;0;45;45;0;NA;0.714;0.313;NA;NA;4.962;1.585;NA;0;11.16491669;3.567290487;0;3;3;3;0;28;31;0;0;6.351139622;2.399077628;0;NA;
9a7da7bc-e594-4a04-9b7a-7698a0cb481f;73;31.07.2013;3;4;1;0;1;0;0;NA;1.029;NA;NA;NA;7.261;NA;NA;0;0.363041579;0;0;3;4;1;0;0;0;0;0;0;0;0;NA;
a210627f-9a77-4c39-8674-a944ff6a4928;74;31.07.2013;3;4;2;0;0;0;0;NA;1.029;NA;NA;NA;NA;NA;NA;0;0;0;0;3;4;2;0;0;0;0;0;0;0;0;NA;
8225974a-82ca-4c1a-bb25-950263fc148f;75;31.07.2013;3;4;3;0;0;0;0;NA;1.029;NA;NA;NA;NA;NA;NA;0;0;0;0;3;4;3;0;2;1;0;0;0.347192099;0.078042527;0;NA;
3a013a5c-8ccb-4c0e-9aec-5d7b01591b3f;76;31.07.2013;3;5;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;3;5;1;0;0;0;0;0;0;0;0;NA;
dc328a19-3486-496a-9c16-f53f82d9fe63;77;31.07.2013;3;5;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;3;5;2;0;0;0;0;0;0;0;0;NA;
afc2c6e7-e750-48f6-9815-a745bdb8c567;78;31.07.2013;3;5;3;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;3;5;3;0;1;0;0;0;0.130744619;0;0;NA;
1b945898-8467-4011-8491-3bdc652a87c2;79;31.07.2013;3;6;1;1;8;0;0;1.826;0.855;NA;NA;9.096;5.99;NA;NA;0.454777242;2.395857643;0;0;3;6;1;48;1;2;0;19.42951095;0.299404659;0.162157941;0;NA;
57dcb8a1-5c14-4068-b7e5-9ff60843cfb8;80;31.07.2013;3;6;2;4;3;0;0;1.826;0.855;NA;NA;9.096;5.99;NA;NA;1.819108969;0.898446616;0;0;3;6;2;40;1;1;0;16.19125912;0.299404659;0.08107897;0;NA;
e7ad768c-910a-4947-89f1-c92db82fc1f5;81;31.07.2013;3;6;3;4;1;0;0;1.826;0.855;NA;NA;9.096;5.99;NA;NA;1.819108969;0.299482205;0;0;3;6;3;55;8;9;0;22.2629813;2.395237269;0.729710734;0;NA;
1b58879c-fb63-4d27-9d99-a82b7a3bf138;82;31.07.2013;3;7;1;0;165;108;0;NA;0.889;0.32;NA;NA;6.235;1.593;NA;0;51.43735623;8.599681223;0;3;7;1;0;84;181;0;0;18.80525863;13.70072128;0;NA;
8fab153f-bae7-4204-8713-713bc69ab9f5;83;31.07.2013;3;7;2;0;109;139;0;NA;0.889;0.32;NA;NA;6.235;1.593;NA;0;33.97982927;11.06810824;0;3;7;2;0;47;117;0;0;10.52198995;8.856267347;0;NA;
f0d1e265-d85a-4c35-a929-415e1cedeeb1;84;31.07.2013;3;7;3;0;131;138;0;NA;0.889;0.32;NA;NA;6.235;1.593;NA;0;40.83814343;10.98848156;0;3;7;3;0;62;132;0;0;13.88007184;9.991686238;0;NA;
65f44df1-8ff0-4897-a8c9-0798af67d37a;85;01.08.2013;3;8;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;3;8;1;0;0;1;0;0;0;0.073728638;0;NA;
9767b37a-3e3f-4823-8e85-9766208dd23c;86;01.08.2013;3;8;2;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;3;8;2;0;0;0;0;0;0;0;0;NA;
2ef7138f-ba95-4a50-b0b4-1bb65e3d2c17;87;01.08.2013;3;8;3;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;3;8;3;0;0;0;0;0;0;0;0;NA;
96c251b7-43ff-4027-8718-2fb236ddf7e7;88;01.08.2013;3;9;1;0;0;44;0;NA;NA;0.198;NA;NA;NA;1.445;NA;0;0;3.17904037;0;3;9;1;0;1;0;0;0;0.284753636;0;0;NA;
e5c63e18-73f1-4dc7-a4e9-2e9c887ee36d;89;01.08.2013;3;9;2;0;0;8;0;NA;NA;0.198;NA;NA;NA;1.445;NA;0;0;0.57800734;0;3;9;2;0;1;1;0;0;0.284753636;0.075060721;0;NA;
d670e8ad-8898-459b-ab31-57a7438909f2;90;01.08.2013;3;9;3;0;0;2;0;NA;NA;0.198;NA;NA;NA;1.445;NA;0;0;0.144501835;0;3;9;3;0;0;0;0;0;0;0;0;NA;
9c8d5e1e-8047-4fb4-ae79-d02221db1f50;91;04.08.2013;3;10;1;0;4;1;0;NA;0.867;0.334;NA;NA;6.077;1.607;NA;0;1.215450841;0.080351705;0;3;10;1;0;73;15;0;0;22.71417334;1.174483876;0;NA;
2e962aec-798f-4455-981b-be0dc579b7c4;92;04.08.2013;3;10;2;0;19;2;0;NA;0.867;0.334;NA;NA;6.077;1.607;NA;0;5.773391497;0.160703409;0;3;10;2;0;60;12;0;0;18.66918356;0.939587101;0;NA;
82220371-a517-4681-a991-98b8b945d30e;93;04.08.2013;3;10;3;0;6;3;0;NA;0.867;0.334;NA;NA;6.077;1.607;NA;0;1.823176262;0.241055114;0;3;10;3;0;25;3;0;0;7.778826485;0.234896775;0;NA;
5aaf2310-e213-4350-a543-3511b1b39a13;94;04.08.2013;3;11;1;141;0;0;0;1.768;NA;NA;NA;8.74;NA;NA;NA;61.6154782;0;0;0;3;11;1;227;0;0;0;70.02489112;0;0;0;NA;
094d4388-450a-4253-9f85-11b9956bdb9d;95;04.08.2013;3;11;2;90;0;0;0;1.768;NA;NA;NA;8.74;NA;NA;NA;39.32902864;0;0;0;3;11;2;312;0;0;0;96.24566533;0;0;0;NA;
3438a32d-e969-4e41-b4e3-bcc80a16134d;96;04.08.2013;3;11;3;280;0;0;0;1.768;NA;NA;NA;8.74;NA;NA;NA;122.356978;0;0;0;3;11;3;236;0;0;0;72.80120839;0;0;0;NA;
eb9ead90-49cc-43ae-8c14-1b5eb41eb2d3;97;04.08.2013;3;12;1;75;0;0;0;2.248;NA;NA;NA;11.743;NA;NA;NA;44.03442155;0;0;0;3;12;1;144;0;0;0;74.32511419;0;0;0;NA;
df7806e9-7e80-4267-8813-4a0e9a806d94;98;04.08.2013;3;12;2;32;0;0;0;2.248;NA;NA;NA;11.743;NA;NA;NA;18.78801986;0;0;0;3;12;2;74;0;0;0;38.19485035;0;0;0;NA;
48894630-cc0b-43d5-9e57-67462ac136b7;99;04.08.2013;3;12;3;25;0;0;0;2.248;NA;NA;NA;11.743;NA;NA;NA;14.67814052;0;0;0;3;12;3;117;0;0;0;60.38915528;0;0;0;NA;
4daf9e59-ccf7-4b85-aa4b-f6dfc11aa198;100;04.08.2013;3;13;1;0;160;54;0;NA;0.707;0.233;NA;NA;4.911;1.493;NA;0;39.28772748;4.031319167;0;3;13;1;0;118;8;0;0;33.00182679;0.585359433;0;NA;
a6778a14-c0c8-4bfd-8ae5-1ee9faeddbdd;101;04.08.2013;3;13;2;0;283;87;0;NA;0.707;0.233;NA;NA;4.911;1.493;NA;0;69.49016799;6.494903102;0;3;13;2;0;67;19;0;0;18.73832538;1.390228652;0;NA;
558eb0ed-f810-4a22-abf9-5cc4a39ac2b6;102;04.08.2013;3;13;3;0;160;53;0;NA;0.707;0.233;NA;NA;4.911;1.493;NA;0;39.28772748;3.956665108;0;3;13;3;0;98;64;0;0;27.40829683;4.68287546;0;NA;
0d49987e-d20e-4c2f-97e9-bdf6796b708d;103;04.08.2013;3;14;1;42;0;0;0;1.644;NA;NA;NA;7.995;NA;NA;NA;16.78907182;0;0;0;3;14;1;29;0;0;0;6.498198835;0;0;0;NA;
395ed857-573a-418f-88fd-d992142ff49d;104;04.08.2013;3;14;2;63;0;0;0;1.644;NA;NA;NA;7.995;NA;NA;NA;25.18360772;0;0;0;3;14;2;96;0;0;0;21.5112789;0;0;0;NA;
6dcef91f-e0c1-4bbb-b669-9904c88b98a0;105;04.08.2013;3;14;3;104;0;0;0;1.644;NA;NA;NA;7.995;NA;NA;NA;41.57293973;0;0;0;3;14;3;68;0;0;0;15.23715589;0;0;0;NA;
6ab220cd-039c-417e-af97-816ad800b930;106;04.08.2013;3;15;1;33;18;0;0;1.266;0.759;0.313;NA;5.798;5.292;NA;NA;9.567204854;4.762364273;0;0;3;15;1;2;13;0;0;0.25922878;3.139692598;0;0;NA;
